cource,type,ver,image_path,rate_0,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10,rate_11
リンリンメトロ,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_02h09m40s.jpg,13492,9812,7064,11266,14818,10441,14222,11413,15217,18423,18686,5972
SFCレインボーロード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_02h13m26s.jpg,9811,7058,11246,14798,14213,11414,15217,18701,5992,11360,0,0
スイーツキャニオン,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_02h16m42s.jpg,9811,7072,11245,14809,14238,11388,15221,18713,5992,11346,9923,0
カラカラさばく,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_02h24m34s.jpg,11265,14823,14245,11393,18735,5986,11362,9928,10012,9855,0,0
ネイチャーロード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_02h36m08s.jpg,11271,14840,14274,11383,18724,5993,9930,10063,13519,14169,964,1196
ネイチャーロード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_02h43m52s.jpg,11242,14817,14308,11384,18704,6041,9975,10062,13526,18259,12386,10105
モーモーカントリー,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_02h47m20s.jpg,11253,14832,14319,11380,18718,6055,10004,10060,13499,12364,10097,11754
スイーツキャニオン,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_02h50m22s.jpg,11268,14851,14334,11385,18736,6058,9992,10072,12362,10097,11742,7044
ドラゴンロード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_02h53m56s.jpg,11247,14869,14314,11414,18744,6077,10007,12365,11714,7051,0,0
スノーランド,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_03h02m26s.jpg,10121,11151,13151,10504,12224,11450,10107,11092,9406,11263,14868,0
